"Timestamp","What is your Age?","What is your Gender ","How often do you play games? ","What are games you are playing recently?","What genre of games do you enjoy playing? ","What is your favourite aspects of games? ","What is your favourite game and what aspects of it do you enjoy? ","What genre of games do you not enjoy playing? ","What is your least favourite aspects of games? ","What was your first impression of the Game? ","What aspects of the game did you find particularly frustrating? ","Did you encounter any unusual bugs in the game? ","What aspects of the game did you enjoy? ","Did you develop a strategy to beat the game? If you did please describe the strategy","Did you find the controls easy to grasp? Any challenges you faced with the controls? ","Level of Difficulty? ","What was the average time you survived ","Number of Upgrades Accquired ","How often did you find yourself accquiring upgrades","Which of the 3 abilities did you use the most","Do you have any suggestions for additional features you believe would make the game more enjoyable? ","If the game were to be improved would you be willing to play again? "
"2023/10/18 5:33:02 AM GMT+11","25","Male","Frequently","Baldur's gate 3","Real Time Strategy;Shooters;RPG;Battle Royale;Platformers","Fun and Unique Mechanics","Monster hunter","Turn based","Tedious tasks","Smooth","The lack of anything new after the first minute","No","The variety of skills/action that you can use to damage the enemy","Spam","The skill page has no shortcuts to navigate like ESC to leave the page","1","5 minute","3","5","Used them Equally","More difficulty and make the different attacks more varied in its role, right now its literally different ways to do damage.","Yes"
"2023/10/20 5:01:06 PM GMT+11","57","Female","Casualy","Ragnarok","Shooters;Battle Royale","Fun and Unique Mechanics;Sound and Music;Progression;Achievement/Rewards","Ragnarok","Mmorpg","Story","Sound","Dont like pressing F","No","Nothing","Yes","Yes","2","2 minute","1","1","Did not use any ability","Should use more color ","Yes"
"2023/10/24 5:23:00 PM GMT+11","18","Male","Frequently","Insurgency Sandstorm, The Witcher III: Wild hunt and NBA2k23","Shooters;RPG;simulators, sports related","Story;Fun and Unique Mechanics;Visual Design;Sound and Music;Progression;Immersion;Achievement/Rewards;all of the options","Dying LIght, stunning visuals, immersive gameplay and storyline, unique controls/movement of characters, straightforward progression tree, engaging in-game musics","Real Time Strategy;Platformers","none","it gives off a strong indie vibe, the instructions are clear, combat is a little clunky, can be improved to be more fluid. kinda like a typical hack n slash game","spawn rate of hostile mobs, inability to block/counter enemies' attacks, limited attacks, slow responses from the character","no","visuals was interesting, the game is easy to get the hang of, very accessible","no","easy to grasp","1","3 minute","1","2","Lunar Lance (Right Click)","smoother movement/controls","Maybe"
"2023/10/24 6:25:52 PM GMT+11","19","Male","Frequently","League of Legends, Fire Emblem, Pokemon","Real Time Strategy;RPG;Platformers","Story;Fun and Unique Mechanics;Visual Design;Progression;Achievement/Rewards","League of Legends - competitive aspect","Shooters","Nothing","Fun and satisfying","Lack of cooldowns for abilities or a better HUD, probably too easy","No","Progression ","It was too simple to need one","Yes","1","5 minute","3","5","Lunar Lance (Right Click)","No","Yes"
"2023/10/24 7:00:34 PM GMT+11","22","Male","Frequently","Skyrim, EA FC24, COD Zombies, Pokemon, GTA V","Shooters;RPG;Platformers;Racing","Fun and Unique Mechanics;Visual Design;Progression;Achievement/Rewards","Skyrim: progression, puzzles","Tactical Shooter: I do not have time to get better lol","Story","Was fun, felt similar to hording in cod zombies.","There were only upgrades for Lunar Lance. ","No","The sound, the visuals were all nice.","Yeah just hording up like in zombies, and keep moving, avoid using the sword as you have to stop and swing. ","Yes, although my first run through I did not pay full attention to the tutorial so I did not use the special abilities","1","5 minute","3","5","Lunar Lance (Right Click)","upgrades for other abilities. Need to make it harder somehow, maybe some enemies cannot be passed through","Maybe"
"2023/10/24 7:14:50 PM GMT+11","22","Male","Frequently","monster hunter world","RPG;mmorpgs","Fun and Unique Mechanics;Progression","xenoblade 1 has a good story, interesting world and pretty deep gameplay optimisation despite it being from the wii","roguelikes","Achievement/Rewards","its ppretty alright, feels and plays like an indie gamee","why are my skill buttons on 1 and 2 when the game is about moving around, they should probably be on q and e or some
i cant see the cds on my skills 
the noise it makes when u cleave like a bunch of guys is really fucking loud LOL ","","yeh it felt good, the dash feels good","yah it's really easy to run around in a circle cause the time the dudes take to start swing at you is longer than ur speed of just running past them so u can kinda just strafe the guys and ranged attack them for free, and ur dash is a get out of jail free card on such a low cd so u can just stay out of range heal urself, walk past them pop ur 1 and then dash out and keep running in a circle and shooting them","is fine","2","3 minute","2","3","Lunar Lance (Right Click)","a thing that does damage when u dash would make that button very good feeling lmao","Maybe"
"2023/10/24 8:57:26 PM GMT+11","19","Female","Rarely","none, studying mostly lol","Real Time Strategy;RPG;Racing","Story;Visual Design;Sound and Music;Immersion;Achievement/Rewards","Don't Escape 4 is my favourite game, the storytelling and worldbuilding is amazing and the art style superb","Shooters;Battle Royale","Fun and Unique Mechanics;Achievement/Rewards","I really like the art style, the controls are smooth and the design is fantastic","Just the mass of sprites coming at you non-stop was a bit much, for the first level anyway. The layout also made it a bit confusing, I wasn't sure where I was meant to go, or what I was meant to do. It might help to give a certain task to do rather than just waiting for the gate to open. I didn't find a use for the inventory. I also found the mouse controls a bit frustrating; I only have a keypad so it felt really clunky in terms of controls for short-range attack. I'm not really versed in this genre of game though so take this with a grain of salt!","","I liked the visual aesthetic + music, going into the first level the spatial design (3d ish?) was a nice surprise. The music was cool as well. ","didn't make it that far hahaha","the mouse controls might be better suited as a key control rather than mouse/click controls. Especially as I don't own a mouse","4","3 minute","1","1","Moonlight Barrage[2]","checkpoints or small goals/collectibles during levels","Yes"
"2023/10/24 10:53:07 PM GMT+11","23","Female","Casualy","Pokemon X, Osu!","RPG;Platformers;Racing","Story;Fun and Unique Mechanics;Sound and Music","I like a lot of indie horror games, because often they focus on very creative but streamlined gameplay","Real Time Strategy","Immersion","Cute! I LOVE the sound effects. I don't think the dash should be called that, but once I got used to it it feels super satisfying. I do wonder if it's been playtested, since you can pretty easily sprint through all the enemies (even when they're in a big crowd) without them having time to attack. I think the normal walking speed might be a tiny bit fast?","Attack buttons are unclear - it looked like it was indicating left and right mouse buttons to me, but they didn't do anything.","I think so. The minor one was that the mouse buttons didn't seem to work for attacking. The major one was that, once I reached the end of the first non-tutorial room (and ran around for a bit because I wasn't sure where to go), I seemd to walk through the door and into the void. At first I thought it was just an unlit corridor or something, but I started slowly sinking and the camera kept getting close to the floor/enemies until it clipped through. Very entertaining but I doubt that was supposed to happen.","Sound effects are 11/10. I liked the little sprint dash thing. ","I did not beat the game :(","Mouse buttons didn't seem to work. Character seemed a little unwieldy at first because the walking speed it so fast, but I got used to it","3","2 minute","1","1","Did not use any ability","A better tutorial might help - rather than just a list of controls, maybe ""Try lancing this box here!"" and ""Try equipping your first upgrade now!"" kind of thing?","Yes"
"2023/10/25 1:53:24 AM GMT+11","27","Male","Frequently","Spider Man 2, League of Legends, CS2, Valorant,","Real Time Strategy;Shooters;RPG;Platformers;MMO","Fun and Unique Mechanics;Visual Design;Sound and Music;Progression;Immersion","My favourite game is The Legend of Zelda: Majora's Mask and the entire setting of the game is what I enjoy the most","Mobile games","Monetization","Impressive","Too fast paced from the beginning, hitboxes of enemies are not clearly defined, needs better sound or markers to indicate the damage dealt, character sprite needs more defining features cause it is hard to see when everything is the same color","Nope","The moonlit atmosphere and hades-like gameplay","Cause the character moves really fast it is really easy to leash enemies around and use lunar lance","Controls are pretty good","2","4 minute","6","5","Lunar Lance (Right Click)","Vertical movement animation, melee attacks need either a higher range or AOE","Yes"
"2023/10/25 9:03:19 PM GMT+11","20","Female","Rarely","Google Doodle - Bubble Tea Game, Gucci Pineapple Game","Platformers;Racing","Visual Design;Progression;Achievement/Rewards","Wordle, because it is simple and concise. Magic Cat Academy as well, because of the innovative game design and characters. Scrabble and Chess as well. ","Real Time Strategy;Shooters;RPG;Battle Royale","Story;Sound and Music","I like the colour palette and design. ","Improvement suggestions are: for the Abilities page, specify what '0/8 Unlocked' means, possibly change the font of the Abilities page to a font like Montserrat because it is quite difficult to read, make a preview page for the game aspects left to unlock for '0/8 Unlocked', increase the magnitude of the energy bar and number of tokens / points bar in the top left corner, write 'Game Over' if level not achieved, possibly edit the design of defeated Lunala character, make a simple automated example level for how to play a level of the game, basically to explain how to implement the skills learned in a level and possibly edit the name of the game because Celestial Tower is a Pokemon game feature name which may be trademarked / have copyright.","One error was, for Floor 1, when the Gate opened, I clicked > arrow so that Lunala would cross the door / gate. I forgot to click F, and then the Lunala character went to a pitch black background. When I clicked < Lunala character went back to gate but appeared invisible in the level floor and the other characters were stationary. ","Colour palette, design, factors.","1. Space bar and arrow keys 
2. Celestial strike
3. Lunar lance implementation","Yes. ","4","1 minute","1","2","Used them Equally","An introduction to the game characters and story would be helpful. Moreover, a tutorial of learning to earn upgrade tokens would be helpful and a strategy guide. Including an aspect for increasing the energy level of the Lunala character for levels would be comprehensive. 
","Yes"
